,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,0.0,0.014,-0.027,0.027,0.0,0.0,11853.0,9899.0,1.0
mu_beta,0.853,0.013,0.827,0.877,0.0,0.0,13783.0,10972.0,1.0
alpha_raw[0],-0.185,0.872,-1.911,1.398,0.007,0.008,16576.0,11287.0,1.0
alpha_raw[1],0.009,0.895,-1.653,1.713,0.006,0.008,21032.0,10667.0,1.0
alpha_raw[2],-0.121,0.889,-1.773,1.598,0.007,0.007,16511.0,12016.0,1.0
alpha_raw[3],0.102,0.901,-1.59,1.819,0.006,0.008,20066.0,11995.0,1.0
alpha_raw[4],-0.266,0.904,-1.993,1.439,0.006,0.008,22780.0,11466.0,1.0
alpha_raw[5],0.214,0.883,-1.464,1.862,0.007,0.007,17096.0,12808.0,1.0
alpha_raw[6],-0.255,0.901,-1.943,1.473,0.006,0.008,22121.0,12325.0,1.0
alpha_raw[7],0.516,0.928,-1.318,2.193,0.007,0.008,16946.0,11956.0,1.0
beta_raw[0],0.182,0.914,-1.625,1.812,0.007,0.007,17136.0,12076.0,1.0
beta_raw[1],-0.194,0.928,-1.912,1.562,0.008,0.007,15185.0,11836.0,1.0
beta_raw[2],0.053,0.916,-1.696,1.759,0.006,0.008,20440.0,12436.0,1.0
beta_raw[3],0.044,0.927,-1.703,1.812,0.007,0.007,18270.0,11014.0,1.0
beta_raw[4],-0.2,0.917,-1.961,1.492,0.007,0.008,16871.0,11927.0,1.0
beta_raw[5],0.139,0.925,-1.597,1.876,0.006,0.008,20737.0,11773.0,1.0
beta_raw[6],0.106,0.921,-1.656,1.816,0.007,0.007,15324.0,11127.0,1.0
beta_raw[7],-0.141,0.936,-1.878,1.652,0.008,0.007,14769.0,11464.0,1.0
sigma_alpha,0.018,0.016,0.0,0.046,0.0,0.0,6713.0,7209.0,1.0
sigma_beta,0.014,0.012,0.0,0.036,0.0,0.0,8030.0,6466.0,1.0
sigma,0.522,0.008,0.506,0.538,0.0,0.0,22630.0,11693.0,1.0
alpha[0],-0.004,0.018,-0.039,0.032,0.0,0.0,21752.0,13779.0,1.0
alpha[1],0.0,0.02,-0.038,0.039,0.0,0.0,22834.0,13710.0,1.0
alpha[2],-0.003,0.019,-0.04,0.034,0.0,0.0,20312.0,14083.0,1.0
alpha[3],0.003,0.019,-0.034,0.04,0.0,0.0,21703.0,13807.0,1.0
alpha[4],-0.006,0.02,-0.048,0.029,0.0,0.0,20172.0,13683.0,1.0
alpha[5],0.005,0.02,-0.032,0.043,0.0,0.0,19778.0,13747.0,1.0
alpha[6],-0.006,0.019,-0.043,0.031,0.0,0.0,19852.0,13135.0,1.0
alpha[7],0.013,0.023,-0.026,0.061,0.0,0.0,12342.0,12615.0,1.0
beta_income[0],0.857,0.017,0.825,0.889,0.0,0.0,21171.0,13135.0,1.0
beta_income[1],0.849,0.018,0.813,0.882,0.0,0.0,20015.0,13129.0,1.0
beta_income[2],0.854,0.018,0.821,0.889,0.0,0.0,23368.0,13902.0,1.0
beta_income[3],0.854,0.017,0.822,0.888,0.0,0.0,22532.0,14995.0,1.0
beta_income[4],0.849,0.018,0.814,0.883,0.0,0.0,19138.0,13370.0,1.0
beta_income[5],0.856,0.018,0.823,0.891,0.0,0.0,20096.0,13376.0,1.0
beta_income[6],0.855,0.017,0.823,0.888,0.0,0.0,19864.0,12908.0,1.0
beta_income[7],0.85,0.018,0.815,0.885,0.0,0.0,20221.0,14109.0,1.0
