slice,mean,count,slice_type
mid-north,0.4290674014281295,500,lat_bucket
4,0.41490814959608313,243,spatial_cluster
0,0.41465360513570804,320,spatial_cluster
3,0.4131534366975775,239,spatial_cluster
5,0.4112193025462987,261,spatial_cluster
2,0.40928739760891525,228,spatial_cluster
mid-old,0.40609134085004756,527,age_bucket
mid-low,0.4053400370241355,500,income_bucket
north,0.4024533194237441,500,lat_bucket
mid-new,0.4013996494964272,507,age_bucket
old,0.3998512414674422,456,age_bucket
low,0.39795265158847837,500,income_bucket
high,0.39551663424110234,500,income_bucket
mid-high,0.3935474744877065,500,income_bucket
7,0.3916777329805497,216,spatial_cluster
1,0.3864443074768164,206,spatial_cluster
mid-south,0.3852135242907442,500,lat_bucket
new,0.38495386988018443,510,age_bucket
south,0.3756225521988051,500,lat_bucket
6,0.34518191993475983,287,spatial_cluster
