median_income,partial_effect
-1.4825346801381452,-3.539361833926323
-1.3392215724467553,-3.465571868060707
-1.1959084647553657,-3.391689971955567
-1.052595357063976,-3.3179426693282354
-0.9092822493725862,-3.244556483896047
-0.7659691416811965,-3.1717579393763367
-0.6226560339898066,-3.0997735594864357
-0.479342926298417,-3.02882986794368
-0.3360298186070272,-2.959153388465402
-0.19271671091563736,-2.8908948919648245
-0.04940360322424775,-2.82354581939346
0.09390950446714208,-2.756258126914025
0.2372226121585319,-2.6881809650298263
0.3805357198499215,-2.6184634842441694
0.5238488275413111,-2.5462548350603593
0.6671619352327012,-2.4707041679817014
0.8104750429240908,-2.390960633511503
0.9537881506154804,-2.3062164184411507
1.0971012583068704,-2.2166535441879156
1.24041436599826,-2.1234438667949527
1.3837274736896497,-2.0278022785934997
1.5270405813810397,-1.9309436719147932
1.6703536890724293,-1.8340829390900715
1.813666796763819,-1.7384349724505692
1.956979904455209,-1.645214664327525
2.1002930121465986,-1.5556321417169054
2.243606119837988,-1.4703209260470087
2.386919227529378,-1.3887946849576838
2.5302323352207674,-1.3104384220364926
2.6735454429121575,-1.2346371408709924
2.8168585506035475,-1.1607758450487455
2.9601716582949367,-1.0882395381573116
3.1034847659863267,-1.0164132237842498
3.2467978736777168,-0.9446819055171203
3.390110981369106,-0.8725877559025236
3.533424089060496,-0.8003016233232159
3.676737196751886,-0.7281515251209958
3.820050304443275,-0.6564654786376611
3.9633634121346653,-0.5855715012150079
4.106676519826055,-0.5157976101948342
4.2499896275174445,-0.44747182291893767
4.3933027352088345,-0.38092215672911456
4.536615842900225,-0.3164126907212786
4.679928950591614,-0.25365100444382643
4.823242058283004,-0.1920581393802629
4.966555165974394,-0.13105276893091325
5.109868273665783,-0.07005356649610224
5.253181381357173,-0.008479205476153717
5.396494489048563,0.05425164072860669
5.539807596739952,0.11872029871785421
5.683120704431342,0.1854886230762559
5.8264338121227315,0.2546706120432586
5.9697469198141215,0.32593240751309394
6.113060027505512,0.39892067936498427
6.256373135196901,0.4732820974781494
6.399686242888291,0.5486633317318116
6.54299935057968,0.6247110520051925
6.686312458271071,0.7010719281775151
6.82962556596246,0.77739429253217
6.972938673653849,0.8535276282574561
7.11625178134524,0.9297120835222656
7.259564889036629,1.0062326914081532
7.4028779967280185,1.083374484996676
7.546191104419409,1.1614224973693905
7.689504212110799,1.2406617616078517
7.832817319802188,1.3213773107936164
7.976130427493579,1.4038541780082414
8.119443535184967,1.4882057846964232
8.262756642876358,1.573859105755437
8.406069750567749,1.6600695044456952
8.549382858259136,1.7460923440276068
8.692695965950527,1.8311829877615946
8.836009073641918,1.9145967989080663
8.979322181333306,1.995589140727436
9.122635289024696,2.07341537648012
9.265948396716087,2.1474112523712385
9.409261504407475,2.217612143939459
9.552574612098866,2.2844136614015818
9.695887719790257,2.348214392120504
9.839200827481644,2.40941292345912
9.982513935173035,2.468407842780331
10.125827042864426,2.525597737447032
10.269140150555813,2.5813811948221184
10.412453258247204,2.636148487705449
10.555766365938595,2.690098653946854
10.699079473629983,2.743239496446153
10.842392581321374,2.79557050354012
10.985705689012764,2.8470911635655263
11.129018796704152,2.897800964859146
11.272331904395543,2.9476993957577546
11.415645012086934,2.9967859445981233
11.558958119778321,3.0450603147541035
11.702271227469712,3.092548229086147
11.845584335161103,3.139325944168324
11.98889744285249,3.1854755225758544
12.132210550543881,3.2310790268839598
12.275523658235272,3.2762185196678555
12.41883676592666,3.32097606350276
12.56214987361805,3.3654337209638907
12.705462981309442,3.4096735546264676
