Model,Seed,Fold,RMSE
Linear Regression,42,1,0.5268766523251966
PyTorch MLP,42,1,0.5564112806649241
Linear Regression,42,2,0.49209861798429666
PyTorch MLP,42,2,0.5280406684116444
Linear Regression,42,3,0.5219201031245304
PyTorch MLP,42,3,0.5452656578861497
Linear Regression,42,4,0.4732178314940601
PyTorch MLP,42,4,0.49166928109967695
Linear Regression,42,5,0.48481321968502666
PyTorch MLP,42,5,0.5255989433037473
Linear Regression,101,1,0.5022736982006136
PyTorch MLP,101,1,0.5354242357323606
Linear Regression,101,2,0.48954326974383355
PyTorch MLP,101,2,0.5179334834562423
Linear Regression,101,3,0.47539279528000794
PyTorch MLP,101,3,0.4908283708619343
Linear Regression,101,4,0.526837199487585
PyTorch MLP,101,4,0.5588832547658087
Linear Regression,101,5,0.4993926676529959
PyTorch MLP,101,5,0.5436114927447752
Linear Regression,2024,1,0.486149667781877
PyTorch MLP,2024,1,0.525910162943983
Linear Regression,2024,2,0.49875743262286254
PyTorch MLP,2024,2,0.5525277398588602
Linear Regression,2024,3,0.5059004436651638
PyTorch MLP,2024,3,0.5392875247301121
Linear Regression,2024,4,0.5167076656192717
PyTorch MLP,2024,4,0.537936595482241
Linear Regression,2024,5,0.4899142832234352
PyTorch MLP,2024,5,0.518451526354184
